location,total_sqft,bath,price,bhk,price_per_sqft
 Devarabeesana Halli,1672.0,3.0,150.0,3,8971.29
 Devarabeesana Halli,1750.0,3.0,149.0,3,8514.29
 Devarabeesana Halli,1750.0,3.0,150.0,3,8571.43
 Devarachikkanahalli,1250.0,2.0,44.0,3,3520.0
 Devarachikkanahalli,1250.0,2.0,40.0,2,3200.0
 Devarachikkanahalli,1200.0,2.0,83.0,2,6916.67
 Devarachikkanahalli,1170.0,2.0,40.0,2,3418.8
 Devarachikkanahalli,1425.0,2.0,65.0,3,4561.4
 Devarachikkanahalli,947.0,2.0,43.0,2,4540.65
 Devarachikkanahalli,1130.0,2.0,36.0,2,3185.84
 Devarachikkanahalli,1417.0,2.0,76.0,3,5363.44
 Devarachikkanahalli,1230.0,2.0,58.0,2,4715.45
 Devarachikkanahalli,1705.0,3.0,75.0,3,4398.83
 Devarachikkanahalli,1116.0,2.0,47.0,2,4211.47
 Devarachikkanahalli,991.0,2.0,40.0,2,4036.33
 Devarachikkanahalli,1700.0,3.0,71.0,3,4176.47
 Electronic City,550.0,1.0,27.0,1,4909.09
 Mysore Highway,1450.0,2.0,70.0,3,4827.59
 Mysore Highway,700.0,1.0,25.5,1,3642.86
 Thanisandra,510.0,1.0,25.25,1,4950.98
 Thanisandra,510.0,1.0,25.25,1,4950.98
 south,2400.0,2.0,480.0,3,20000.0
1st Block BEL Layout,1800.0,5.0,250.0,4,13888.89
1st Block HBR Layout,600.0,1.0,45.0,1,7500.0
1st Block HBR Layout,3150.0,4.0,150.0,4,4761.9
1st Block HRBR Layout,1250.0,2.0,67.0,2,5360.0
1st Block Jayanagar,2850.0,4.0,428.0,4,15017.54
1st Block Jayanagar,1630.0,3.0,194.0,3,11901.84
1st Block Jayanagar,1875.0,2.0,235.0,3,12533.33
1st Block Jayanagar,1200.0,2.0,130.0,3,10833.33
1st Block Jayanagar,1235.0,2.0,148.0,2,11983.81
1st Block Jayanagar,2750.0,4.0,413.0,4,15018.18
1st Block Jayanagar,2450.0,4.0,368.0,4,15020.41
1st Block Koramangala,1415.0,2.0,110.0,2,7773.85
1st Block Koramangala,860.0,2.0,65.5,2,7616.28
1st Block Koramangala,3000.0,3.0,300.0,4,10000.0
1st Block Koramangala,2350.0,3.0,210.0,3,8936.17
1st Block Koramangala,3000.0,5.0,500.0,4,16666.67
1st Phase JP Nagar,2825.0,4.0,250.0,4,8849.56
1st Phase JP Nagar,1875.0,3.0,167.0,3,8906.67
1st Phase JP Nagar,2065.0,4.0,210.0,3,10169.49
1st Phase JP Nagar,2059.0,3.0,225.0,3,10927.63
1st Phase JP Nagar,1394.0,2.0,100.0,2,7173.6
1st Phase JP Nagar,1077.0,2.0,93.0,2,8635.1
1st Phase JP Nagar,1566.0,2.0,180.0,2,11494.25
1st Phase JP Nagar,840.0,2.0,50.0,1,5952.38
1st Phase JP Nagar,1590.0,3.0,131.0,3,8238.99
1st Phase JP Nagar,2180.0,3.0,210.0,3,9633.03
1st Phase JP Nagar,1180.0,2.0,88.5,2,7500.0
1st Phase JP Nagar,1394.0,2.0,85.0,2,6097.56
1st Phase JP Nagar,2077.0,3.0,175.0,3,8425.61
1st Phase JP Nagar,4550.0,2.0,240.0,4,5274.73
1st Phase JP Nagar,1205.0,2.0,85.0,2,7053.94
1st Phase JP Nagar,2615.0,5.0,222.0,4,8489.48
1st Phase JP Nagar,900.0,2.0,75.0,2,8333.33
1st Stage Indira Nagar,1400.0,2.0,67.0,2,4785.71
1st Stage Indira Nagar,1200.0,2.0,55.0,2,4583.33
1st Stage Indira Nagar,940.0,2.0,56.0,2,5957.45
1st Stage Indira Nagar,3000.0,4.0,301.0,4,10033.33
2nd Block Hrbr Layout,1480.0,3.0,90.0,3,6081.08
2nd Block Hrbr Layout,1480.0,3.0,90.0,3,6081.08
2nd Block Hrbr Layout,1550.0,3.0,110.0,3,7096.77
2nd Block Jayanagar,1718.0,3.0,223.0,3,12980.21
2nd Block Jayanagar,1000.0,2.0,97.0,2,9700.0
2nd Phase JP Nagar,2800.0,4.0,200.0,5,7142.86
2nd Phase JP Nagar,1000.0,1.0,55.0,2,5500.0
2nd Phase JP Nagar,1040.0,2.0,78.0,2,7500.0
2nd Phase JP Nagar,850.0,2.0,42.5,2,5000.0
2nd Phase Judicial Layout,1450.0,2.0,50.75,3,3500.0
2nd Phase Judicial Layout,1150.0,2.0,40.25,2,3500.0
2nd Phase Judicial Layout,1350.0,2.0,47.25,3,3500.0
2nd Phase Judicial Layout,1350.0,2.0,47.25,3,3500.0
2nd Phase Judicial Layout,900.0,2.0,41.0,2,4555.56
2nd Phase Judicial Layout,1681.0,3.0,69.0,3,4104.7
2nd Phase Judicial Layout,1350.0,2.0,47.25,3,3500.0
2nd Phase Judicial Layout,1150.0,2.0,40.25,2,3500.0
2nd Stage Arekere Mico Layout,1200.0,4.0,130.0,4,10833.33
2nd Stage Nagarbhavi,1500.0,4.0,220.0,4,14666.67
2nd Stage Nagarbhavi,3000.0,8.0,451.0,6,15033.33
2nd Stage Nagarbhavi,2400.0,8.0,450.0,6,18750.0
2nd Stage Nagarbhavi,1350.0,4.0,200.0,4,14814.81
2nd Stage Nagarbhavi,1200.0,4.0,225.0,4,18750.0
2nd Stage Nagarbhavi,1500.0,3.0,230.0,4,15333.33
3rd Block Banashankari,2400.0,8.0,650.0,6,27083.33
3rd Block Banashankari,1200.0,4.0,175.0,4,14583.33
3rd Block Banashankari,2400.0,4.0,325.0,5,13541.67
3rd Block Hrbr Layout,1056.0,2.0,80.0,2,7575.76
3rd Block Hrbr Layout,1320.0,2.0,90.0,2,6818.18
3rd Block Hrbr Layout,1300.0,2.0,95.0,2,7307.69
3rd Block Hrbr Layout,1650.0,3.0,140.0,3,8484.85
3rd Block Jayanagar,2150.0,3.0,240.0,3,11162.79
3rd Block Koramangala,2100.0,3.0,270.0,3,12857.14
3rd Phase JP Nagar,4500.0,4.0,345.0,4,7666.67
4th Block Jayanagar,900.0,2.0,70.0,2,7777.78
4th Block Jayanagar,2005.0,3.0,240.0,3,11970.07
4th Block Jayanagar,1567.2,2.0,190.0,3,12123.53
4th Block Koramangala,1225.0,2.0,150.0,2,12244.9
4th Block Koramangala,1800.0,3.0,140.0,3,7777.78
4th Block Koramangala,2400.0,5.0,180.0,4,7500.0
4th Block Koramangala,1269.0,2.0,97.0,2,7643.81
4th Phase JP Nagar,1070.0,2.0,38.9,2,3635.51
4th Phase JP Nagar,1080.0,2.0,38.0,2,3518.52
4th Phase JP Nagar,600.0,4.0,70.0,2,11666.67
4th T block Jayanagar,2401.0,3.0,185.0,3,7705.12
4th T block Jayanagar,1550.0,4.0,120.0,4,7741.94
4th T block Jayanagar,2100.0,3.0,220.0,3,10476.19
4th T block Jayanagar,2400.0,3.0,185.0,3,7708.33
5th Block Hbr Layout,1206.0,2.0,56.0,2,4643.45
5th Block Hbr Layout,1270.0,2.0,70.0,3,5511.81
5th Block Hbr Layout,1312.0,2.0,69.0,2,5259.15
5th Block Hbr Layout,1100.0,2.0,48.0,2,4363.64
5th Block Hbr Layout,3600.0,5.0,130.0,5,3611.11
5th Block Hbr Layout,5100.0,5.0,300.0,6,5882.35
5th Block Jayanagar,10624.0,4.0,2340.0,4,22025.6
5th Phase JP Nagar,1075.0,2.0,60.0,2,5581.4
5th Phase JP Nagar,1150.0,3.0,52.5,2,4565.22
5th Phase JP Nagar,1256.0,2.0,62.8,2,5000.0
5th Phase JP Nagar,1207.0,2.0,63.0,2,5219.55
5th Phase JP Nagar,1725.0,2.0,100.0,3,5797.1
5th Phase JP Nagar,1440.0,2.0,60.0,2,4166.67
5th Phase JP Nagar,1700.0,2.0,100.0,3,5882.35
5th Phase JP Nagar,1485.0,2.0,67.0,3,4511.78
5th Phase JP Nagar,600.0,1.0,30.0,1,5000.0
5th Phase JP Nagar,1390.0,2.0,65.0,2,4676.26
5th Phase JP Nagar,1256.0,2.0,62.8,2,5000.0
5th Phase JP Nagar,1000.0,2.0,48.0,2,4800.0
5th Phase JP Nagar,1350.0,2.0,75.0,3,5555.56
5th Phase JP Nagar,552.0,1.0,23.5,1,4257.25
5th Phase JP Nagar,1200.0,2.0,51.0,2,4250.0
5th Phase JP Nagar,1240.0,3.0,60.0,3,4838.71
5th Phase JP Nagar,1550.0,3.0,75.0,3,4838.71
5th Phase JP Nagar,1485.0,2.0,66.0,3,4444.44
5th Phase JP Nagar,1030.0,2.0,57.0,2,5533.98
5th Phase JP Nagar,1200.0,2.0,68.0,2,5666.67
5th Phase JP Nagar,1190.0,2.0,61.8,2,5193.28
5th Phase JP Nagar,4000.0,5.0,170.0,5,4250.0
5th Phase JP Nagar,1080.0,2.0,53.0,2,4907.41
5th Phase JP Nagar,1041.0,2.0,54.0,2,5187.32
5th Phase JP Nagar,812.0,2.0,42.0,2,5172.41
5th Phase JP Nagar,1010.0,2.0,57.0,2,5643.56
5th Phase JP Nagar,1450.0,2.0,73.0,3,5034.48
5th Phase JP Nagar,1075.0,2.0,60.0,2,5581.4
6th Phase JP Nagar,1192.0,2.0,74.0,2,6208.05
6th Phase JP Nagar,1180.0,2.0,80.0,2,6779.66
6th Phase JP Nagar,1645.0,3.0,100.0,3,6079.03
6th Phase JP Nagar,1140.0,2.0,65.0,2,5701.75
6th Phase JP Nagar,1213.0,2.0,63.0,2,5193.73
6th Phase JP Nagar,1170.0,2.0,120.0,2,10256.41
6th Phase JP Nagar,1216.0,2.0,60.0,2,4934.21
6th Phase JP Nagar,2003.0,3.0,200.0,3,9985.02
6th Phase JP Nagar,1810.0,3.0,131.0,3,7237.57
6th Phase JP Nagar,1515.0,2.0,135.0,3,8910.89
6th Phase JP Nagar,1192.0,2.0,75.0,2,6291.95
6th Phase JP Nagar,1280.0,2.0,88.0,2,6875.0
6th block Koramangala,1117.0,2.0,110.0,2,9847.81
6th block Koramangala,3000.0,3.0,400.0,3,13333.33
7th Block Jayanagar,3000.0,3.0,528.0,5,17600.0
7th Block Jayanagar,2400.0,3.0,408.0,3,17000.0
7th Block Jayanagar,1903.0,2.0,293.0,3,15396.74
7th Phase JP Nagar,1080.0,2.0,72.0,2,6666.67
7th Phase JP Nagar,1270.0,2.0,93.0,2,7322.83
7th Phase JP Nagar,1420.0,2.0,100.0,3,7042.25
7th Phase JP Nagar,1850.0,3.0,150.0,3,8108.11
7th Phase JP Nagar,1245.0,2.0,94.0,2,7550.2
7th Phase JP Nagar,1175.0,2.0,82.0,2,6978.72
7th Phase JP Nagar,1400.0,2.0,95.0,3,6785.71
7th Phase JP Nagar,2225.0,3.0,160.0,3,7191.01
7th Phase JP Nagar,1050.0,2.0,71.0,2,6761.9
7th Phase JP Nagar,1100.0,2.0,46.0,2,4181.82
7th Phase JP Nagar,918.0,2.0,50.49,2,5500.0
7th Phase JP Nagar,1450.0,2.0,100.0,3,6896.55
7th Phase JP Nagar,1190.0,2.0,49.98,2,4200.0
7th Phase JP Nagar,1420.0,2.0,96.0,3,6760.56
7th Phase JP Nagar,1680.0,3.0,120.0,3,7142.86
7th Phase JP Nagar,980.0,2.0,69.0,2,7040.82
7th Phase JP Nagar,1180.0,2.0,72.0,2,6101.69
7th Phase JP Nagar,1050.0,2.0,57.0,3,5428.57
7th Phase JP Nagar,1343.0,2.0,56.41,3,4200.3
7th Phase JP Nagar,1405.0,2.0,59.01,3,4200.0
7th Phase JP Nagar,1400.0,3.0,115.0,3,8214.29
7th Phase JP Nagar,1270.0,2.0,83.0,2,6535.43
7th Phase JP Nagar,3300.0,4.0,150.0,4,4545.45
7th Phase JP Nagar,2503.0,4.0,188.0,4,7510.99
7th Phase JP Nagar,2200.0,3.0,190.0,3,8636.36
7th Phase JP Nagar,1250.0,3.0,65.0,3,5200.0
7th Phase JP Nagar,1385.0,2.0,58.17,3,4200.0
7th Phase JP Nagar,1575.0,2.0,110.0,3,6984.13
7th Phase JP Nagar,1850.0,3.0,140.0,3,7567.57
7th Phase JP Nagar,1575.0,2.0,120.0,3,7619.05
7th Phase JP Nagar,1850.0,3.0,150.0,3,8108.11
7th Phase JP Nagar,1680.0,3.0,120.0,3,7142.86
7th Phase JP Nagar,1175.0,2.0,82.5,2,7021.28
7th Phase JP Nagar,3300.0,4.0,160.0,3,4848.48
7th Phase JP Nagar,2200.0,4.0,105.0,3,4772.73
7th Phase JP Nagar,1215.0,2.0,90.0,2,7407.41
7th Phase JP Nagar,1050.0,2.0,75.0,2,7142.86
7th Phase JP Nagar,1300.0,3.0,89.13,3,6856.15
7th Phase JP Nagar,1130.0,2.0,73.0,2,6460.18
7th Phase JP Nagar,1450.0,3.0,100.0,3,6896.55
7th Phase JP Nagar,1350.0,3.0,58.0,3,4296.3
7th Phase JP Nagar,1050.0,2.0,50.0,2,4761.9
7th Phase JP Nagar,1275.0,2.0,87.0,2,6823.53
7th Phase JP Nagar,1460.0,3.0,70.0,3,4794.52
7th Phase JP Nagar,1650.0,3.0,110.0,3,6666.67
7th Phase JP Nagar,850.0,2.0,42.0,2,4941.18
7th Phase JP Nagar,1680.0,3.0,117.0,3,6964.29
7th Phase JP Nagar,1850.0,3.0,150.0,3,8108.11
7th Phase JP Nagar,1236.0,2.0,61.33,2,4961.97
7th Phase JP Nagar,1000.0,2.0,53.0,2,5300.0
7th Phase JP Nagar,1680.0,3.0,125.0,3,7440.48
7th Phase JP Nagar,1675.0,2.0,135.0,3,8059.7
7th Phase JP Nagar,1187.0,2.0,59.0,2,4970.51
7th Phase JP Nagar,1850.0,3.0,155.0,3,8378.38
7th Phase JP Nagar,1000.0,2.0,61.0,2,6100.0
7th Phase JP Nagar,1460.0,2.0,100.0,3,6849.32
7th Phase JP Nagar,1650.0,3.0,110.0,3,6666.67
7th Phase JP Nagar,1200.0,2.0,62.5,2,5208.33
7th Phase JP Nagar,1000.0,2.0,70.65,2,7065.0
7th Phase JP Nagar,1080.0,2.0,75.0,2,6944.44
7th Phase JP Nagar,1415.0,3.0,65.0,3,4593.64
7th Phase JP Nagar,1680.0,3.0,125.0,3,7440.48
7th Phase JP Nagar,1460.0,2.0,97.0,3,6643.84
7th Phase JP Nagar,1120.0,2.0,65.0,2,5803.57
7th Phase JP Nagar,1100.0,3.0,60.0,2,5454.55
7th Phase JP Nagar,1790.0,3.0,120.0,3,6703.91
7th Phase JP Nagar,1680.0,3.0,117.0,3,6964.29
7th Phase JP Nagar,1050.0,2.0,77.0,2,7333.33
7th Phase JP Nagar,1050.0,2.0,75.0,2,7142.86
7th Phase JP Nagar,1040.0,2.0,75.0,2,7211.54
7th Phase JP Nagar,1400.0,2.0,95.0,3,6785.71
7th Phase JP Nagar,1800.0,3.0,130.0,3,7222.22
7th Phase JP Nagar,1050.0,2.0,68.0,2,6476.19
7th Phase JP Nagar,1000.0,2.0,60.0,2,6000.0
7th Phase JP Nagar,1680.0,3.0,125.0,3,7440.48
7th Phase JP Nagar,1050.0,2.0,77.47,2,7378.1
7th Phase JP Nagar,1270.0,2.0,80.0,2,6299.21
7th Phase JP Nagar,1463.0,2.0,61.45,3,4200.27
7th Phase JP Nagar,1680.0,3.0,122.0,3,7261.9
7th Phase JP Nagar,1130.0,2.0,85.0,2,7522.12
7th Phase JP Nagar,1680.0,3.0,130.0,3,7738.1
7th Phase JP Nagar,980.0,2.0,77.44,2,7902.04
7th Phase JP Nagar,1680.0,3.0,112.0,3,6666.67
7th Phase JP Nagar,1515.0,2.0,76.0,3,5016.5
7th Phase JP Nagar,2095.0,3.0,150.0,3,7159.9
7th Phase JP Nagar,1976.0,3.0,145.0,3,7338.06
7th Phase JP Nagar,1600.0,2.0,110.0,3,6875.0
7th Phase JP Nagar,1765.0,3.0,118.0,3,6685.55
7th Phase JP Nagar,1275.0,2.0,88.0,3,6901.96
7th Phase JP Nagar,1450.0,2.0,102.0,3,7034.48
7th Phase JP Nagar,1575.0,2.0,110.0,3,6984.13
7th Phase JP Nagar,1075.0,2.0,57.0,3,5302.33
7th Phase JP Nagar,750.0,1.0,47.0,1,6266.67
7th Phase JP Nagar,990.0,2.0,50.0,2,5050.51
7th Phase JP Nagar,1000.0,1.0,60.0,1,6000.0
7th Phase JP Nagar,1680.0,2.0,92.0,3,5476.19
7th Phase JP Nagar,1430.0,2.0,102.0,3,7132.87
7th Phase JP Nagar,1128.0,2.0,60.0,2,5319.15
7th Phase JP Nagar,1140.0,2.0,57.0,2,5000.0
7th Phase JP Nagar,1420.0,3.0,90.0,3,6338.03
7th Phase JP Nagar,1530.0,2.0,108.0,2,7058.82
8th Block Jayanagar,2000.0,6.0,300.0,6,15000.0
8th Phase JP Nagar,1073.5,2.0,54.005,2,5030.74
8th Phase JP Nagar,451.0,1.0,29.9,1,6629.71
8th Phase JP Nagar,1240.0,3.0,43.5,3,3508.06
8th Phase JP Nagar,1062.0,2.0,42.47,2,3999.06
